연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장주소,기업형태,담당기관,등록일,연락처
1,2023.12.29,2023-12-29~2024-01-31,홍천아산병원,병원행정 사무원(원무),계약직,시급,9860,무관,0년개월,고졸,,    ,강원도 홍천군 홍천읍 산림공원1길 17 (갈마곡리),중소,강원지사,2023.12.29,1588-1519
2,2023.12.29,2023-12-29~2024-03-28,인천광역시교육청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,인천광역시 남동구 정각로 9 (구월동),"공사,공공",인천지사,2023.12.29,1588-1519
3,2023.12.29,2023-12-29~2024-01-20,(주)웰템,직업 운동선수,계약직,시급,9860,신입,무관,무관,전기공학,    ,경상남도 창원시 마산회원구 자유무역3길 154 1,중소,경남동부지사,2023.12.29,1588-1519
4,2023.12.29,2023-12-29~2024-01-12,행복한요양병원,요양보호사 보조원,계약직,시급,9860,무관,무관,무관,,    ,"경상남도 창원시 의창구 북면 천주로 785 (동전리, 행복한병원)",중소,경남동부지사,2023.12.29,1588-1519
5,2023.12.29,2023-12-29~2024-01-05,주식회사 브라보비버 대구,식품 포장원,상용직,시급,9860,무관,0년개월,무관,,    ,대구광역시 북구 노원로 50 (노원동3가) 3층 303호,중소,대구지역본부,2023.12.29,1588-1519
6,2023.12.29,2023-12-29~2024-01-31,주식회사 에코프로에이치엔,직업 운동선수,계약직,월급,1200000,무관,0년개월,무관,,    ,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 .,대기업,충북지사,2023.12.29,1588-1519
7,2023.12.29,2023-12-29~2023-12-29,구로구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2060740,무관,무관,무관,,    ,서울특별시 구로구 가마산로 245 신관4층 어르신청소년과 아동보호팀 (구로동),중소,서울남부지사,2023.12.29,1588-1519
8,2023.12.29,2023-12-29~2023-12-29,동작구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2390124,무관,무관,무관,,    ,서울특별시 동작구 장승배기로 161 (노량진동),"공사,공공",서울남부지사,2023.12.29,1588-1519
9,2023.12.29,2023-12-29~2023-12-29,양천구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2060740,무관,무관,무관,,    ,서울특별시 양천구 목동동로 105  (신정동),"공사,공공",서울남부지사,2023.12.29,1588-1519
10,2023.12.29,2023-12-29~2023-12-29,서울특별시강서구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2060740,무관,무관,무관,,    ,서울특별시 강서구 화곡로 302 (화곡동),"공사,공공",서울남부지사,2023.12.29,1588-1519
